Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
12664000,0000070F,FALSE,Rx,0,8,10,0D,22,2B,F0,2B,F1,2B
12664302,381,FALSE,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,5F
12664553,382,FALSE,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,5F
12665126,117,FALSE,Rx,0,8,66,0B,0,40,68,0,0,FF
12665376,40,FALSE,Rx,0,8,55,0F,0,44,C1,0,0,0
12665610,108,FALSE,Rx,0,8,FE,18,34,D0,63,8C,0,0
12665844,86,FALSE,Rx,0,8,85,8,1,0,0,0,0,0
12666095,0000009F,FALSE,Rx,0,8,90,38,0,0,0,8,80,40
12666329,0000032A,FALSE,Rx,0,8,6F,0C,0,0,48,2,0,0
12666562,396,FALSE,Rx,0,8,A2,0E,0,12,0,0,0,0
12667395,0000030B,FALSE,Rx,0,8,10,2E,2,0,0C,0,0,24
12667968,365,FALSE,Rx,0,8,C0,6,11,0,8A,2,A8,7A
12668897,118,FALSE,Rx,0,4,0,0,0,12,0,0,0,0
12669147,134,FALSE,Rx,0,8,0,0,0,0,0,40,1F,7D
12670007,000000B2,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
12670258,000000FD,FALSE,Rx,0,8,9,DB,1F,80,0,0,0,0
12670492,104,FALSE,Rx,0,8,F2,3B,A6,0,E6,0,0,31
12670743,116,FALSE,Rx,0,8,63,0B,1,4,0,40,0,FF
12670977,135,FALSE,Rx,0,8,0,C0,0,0,0,0,0,0
12672040,000000A7,FALSE,Rx,0,8,B9,37,E0,80,FD,11,78,3E
12672274,000000A8,FALSE,Rx,0,8,A3,77,5E,A8,81,64,FC,0D
12672779,779,FALSE,Rx,0,8,30,0F,0A,AA,AA,AA,AA,AA
12674844,1B000010,TRUE,Rx,0,8,10,0,44,5,89,0,0,0
12675501,0000070F,FALSE,Rx,0,8,21,F3,2B,E6,2B,E7,2B,E9
12675735,86,FALSE,Rx,0,8,E1,9,1,0,0,0,0,0
12675968,0000009F,FALSE,Rx,0,8,F4,39,0,0,0,8,80,40
12676219,0000011D,FALSE,Rx,0,8,57,0D,0,C8,0,0,0,0
12679883,000000B2,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
12680117,101,FALSE,Rx,0,8,6,0C,7E,10,82,0A,40,0
12680368,106,FALSE,Rx,0,8,F2,8C,64,0,0,0,FD,10
12680618,0000011E,FALSE,Rx,0,8,3A,0C,0,0,0,0,0,0
12680869,135,FALSE,Rx,0,8,0,C0,0,0,0,0,0,0
